price_date,open,high,low,close,adj_close,volume
2026-07-07,164.75,165.61000061035156,163.8800048828125,164.44000244140625,164.44000244140625,12143500
2026-07-08,163.4199981689453,163.99000549316406,162.25999450683594,162.3000030517578,162.3000030517578,9287900
2026-07-09,161.8000030517578,163.4199981689453,161.36000061035156,162.1699981689453,162.1699981689453,9576400
2026-07-10,162.47999572753906,162.66000366210938,160.24000549316406,160.83999633789062,160.83999633789062,9497100
2026-07-13,160.97000122070312,162.24000549316406,160.32000732421875,161.41000366210938,161.41000366210938,6873000
2026-07-14,159.77999877929688,160.0800018310547,157.77999877929688,158.2899932861328,158.2899932861328,11523000
2026-07-15,157.3800048828125,159.35000610351562,157.25,158.2899932861328,158.2899932861328,10885300
2026-07-16,160.35000610351562,162.63999938964844,159.94000244140625,161.8000030517578,161.8000030517578,11819000
2026-07-17,161.80999755859375,164.0,160.8800048828125,161.08999633789062,161.08999633789062,9165800
2026-07-20,161.0,161.48500061035156,159.4499969482422,159.45159912109375,159.45159912109375,5309499
