price_date,open,high,low,close,adj_close,volume
2026-07-06,165.9499969482422,167.89999389648438,155.0399932861328,160.4199981689453,160.4199981689453,188831300
2026-07-07,158.9199981689453,159.3000030517578,148.86000061035156,149.47000122070312,149.47000122070312,83779700
2026-07-08,152.5500030517578,152.92999267578125,145.1999969482422,148.3000030517578,148.3000030517578,60949400
2026-07-09,150.4499969482422,153.5,147.58999633789062,152.16000366210938,152.16000366210938,46468600
2026-07-10,150.1300048828125,150.57000732421875,145.07000732421875,145.3000030517578,145.3000030517578,46826000
2026-07-13,144.6999969482422,144.9199981689453,136.77999877929688,139.13999938964844,139.13999938964844,71456500
2026-07-14,140.9499969482422,143.3300018310547,135.52000427246094,136.0800018310547,136.0800018310547,46694800
2026-07-15,137.50999450683594,139.33999633789062,132.14999389648438,135.27000427246094,135.27000427246094,58040900
2026-07-16,135.00999450683594,137.75999450683594,130.74000549316406,131.11000061035156,131.11000061035156,58725600
2026-07-17,127.43000030517578,130.3300018310547,122.12000274658203,123.98999786376953,123.98999786376953,83442500
2026-07-20,125.33000183105469,125.69999694824219,120.0999984741211,121.94999694824219,121.94999694824219,41308241
